# Forward scan work (LANE PROXY -- not D49 RX_ERR_WORK)
# generated by probes/work.sh on 2026-08-17T06:13:53Z
# repo commit  0f10dd9
# gcc          gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
# python3      Python 3.14.4
# pcrec        /home/duxevents/pcrec/worktrees/k23/build/pcrec
#
# one unit = one span-loop scan-body iteration (one stride of
# greedy forward walking). See work.sh header for why this is NOT
# the D49 meter and what re-anchoring against it would cost.
# columns: n  steps  work  verdict

== (a{10,20}){10,50}  n=100 ==
baseline    100 10621636 55684363 match
prune       100 1 190 match
prune+scan  100 1 100 match

== (a{11,22}){11,50}  n=121 ==
baseline    121 111354519 624582267 match
prune       121 1 231 match
prune+scan  121 1 121 match

== ((?:ab){10,20}){10,50}  n=200 ==
baseline    200 10621636 55684363 match
prune       200 1 190 match
prune+scan  200 1 100 match
